id,type,model,status,lost_by,date,nearest_location,geo,unit,tags
1,Tanks,T-64BV,Destroyed,Russia,2022-03-14,"Rubizhne, Sievierodonetsk raion","49.027241,38.343374",,
2,Tanks,T-64BV,Destroyed,Russia,2022-03-16,"Mariupol, Mariupol raion","47.099125851628806,37.52371337039075",,"Turretless, Z, Mine plow/roller"
3,Tanks,T-64BV,Destroyed,Russia,2022-03-16,"Mariupol, Mariupol raion","47.09869256359657,37.52353235165147",,Shattered
5,Tanks,T-64BV,Destroyed,Russia,2022-03-17,"Mariupol, Mariupol raion","47.098139835697424,37.640174323260645",,"Turretless, Z"
6,Tanks,T-64BV,Destroyed,Russia,2022-03-31,"Rubizhne, Sievierodonetsk raion","49.01122,38.39844",,Z
8,Tanks,T-64BV,Destroyed,Russia,2022-03-07,"Mariupol, Mariupol raion","47.06449,37.47426",,"Z, Mine plow/roller"
10,Tanks,T-64BV,Destroyed,Russia,2022-05-06,"Mariupol, Mariupol raion","47.152873,37.632595",51st (ex-1st Army Corps) Combined Arms Army (DNR),"Turretless, Shattered"
11,Tanks,T-64BV,Damaged,Russia,2022-05-20,"Rubizhne, Sievierodonetsk raion","49.03426,38.354",,
13,Tanks,T-64A,Destroyed,Russia,2022-05-25,"Borivske, Sievierodonetsk raion","48.875283,38.600434",,Mine plow/roller
15,Tanks,T-64BV,Destroyed,Russia,2022-05-29,"Rubizhne, Sievierodonetsk raion","48.98553,38.40138",123rd (ex-2nd) Motor Rifle Brigade (LNR),"Turretless, Shattered"
17,Tanks,T-64BV,Destroyed,Russia,2022-05-11,"Oleksandrivka, Donetsk raion","47.903917,37.535861",,"Turretless, Shattered"
19,Tanks,T-64BV,Damaged,Russia,2022-04-17,"Rubizhne, Sievierodonetsk raion","49.011984,38.397356",,Z
20,Tanks,T-64BV,Captured,Russia,2022-03-29,Luhansk oblast,,,Damaged
26,Tanks,T-72A,Destroyed,Russia,2022-03-10,"Skybyn, Brovary raion","50.586255,30.839030",6th Tank Regiment,"Turretless, O"
27,Tanks,T-72A,Destroyed,Russia,2022-03-06,"Zavorychi, Brovary raion","50.70268,31.1552",6th Tank Regiment,"Turretless, O"
28,Tanks,T-72A,Destroyed,Russia,2022-03-27,"Verkhnotoretske, Pokrovsk raion",,,Mine plow/roller
29,Tanks,T-72A,Destroyed,Russia,2022-04-09,"Pryputni, Pryluky raion","50.951716,32.220893",6th Tank Regiment,Mine plow/roller
30,Tanks,T-72A,Destroyed,Russia,2022-04-04,"Politrudnia, Chernihiv raion","51.83793,31.60029",80th Tank Regiment,"Turretless, Mine plow/roller"
31,Tanks,T-72A,Destroyed,Russia,2022-04-26,Chernihiv oblast,,6th Tank Regiment,Mine plow/roller
32,Tanks,T-72B,Destroyed,Russia,2022-06-01,"Marinka, Pokrovsk raion","47.932043,37.523071",,"Turretless, Shattered"
34,Tanks,T-72A,Captured,Russia,2022-03-10,Chernihiv oblast,,6th Tank Regiment,
35,Tanks,T-72A,Captured,Russia,2022-03-10,"Skybyn, Brovary raion","50.583148,30.836393",6th Tank Regiment,Mine plow/roller
36,Tanks,T-72A,Captured,Russia,2022-03-10,"Kolychivka, Chernihiv raion","51.42088,31.30846",80th Tank Regiment,O
39,Tanks,T-72A,Captured,Russia,2022-03-06,"Zavorychi, Brovary raion","50.7017,31.1541",6th Tank Regiment,Mine plow/roller
42,Tanks,T-72A,Captured,Russia,2022-05-17,"Bilohorivka, Sievierodonetsk raion",,6th Tank Regiment,Z
43,Tanks,T-72A,Captured,Russia,2022-05-25,"Bilohorivka, Sievierodonetsk raion","48.9511,38.22929",6th Tank Regiment,
44,Tanks,T-72A,Destroyed,Russia,2022-07-13,"Bilohorivka, Sievierodonetsk raion","48.9515,38.22714",6th Tank Regiment,Turretless
45,Tanks,T-72A,Captured,Russia,2022-05-28,"Bilohorivka, Sievierodonetsk raion",,,
49,Tanks,T-72AV,Destroyed,Russia,2022-04-11,"Nova Basan, Nizhyn raion","50.54869,31.50226",,
50,Tanks,T-80BV,Destroyed,Russia,2022-04-25,Kyiv oblast,,,"Turretless, Shattered"
51,Tanks,T-72AV,Captured,Russia,2022-03-10,"Skybyn, Brovary raion","50.58057,30.83448",6th Tank Regiment,
52,Tanks,T-72AV,Captured,Russia,2022-03-11,"Malyi Vystorop, Sumy raion","50.62778,34.81719",15th Motor Rifle Regiment,Mine plow/roller
53,Tanks,T-72AV,Captured,Russia,2022-04-02,"Nova Basan, Nizhyn raion","50.57066,31.51588",239th Tank Regiment,O
54,Tanks,T-72B,Destroyed,Russia,2022-02-26,"Metolkyne, Sievierodonetsk raion","48.936789,38.600982",,Z
55,Tanks,T-72B,Destroyed,Russia,2022-03-02,"Makoshyne, Koriukivka raion","51.462111,32.297907",6th Tank Regiment,
56,Tanks,T-72B,Destroyed,Russia,2022-02-28,Luhansk oblast,,,Z
57,Tanks,T-72B,Destroyed,Russia,2022-03-04,"Stoianka, Bucha raion","50.446174,30.220760",5th Separate Tank Brigade,"Turretless, V"
58,Tanks,T-72BA,Destroyed,Russia,2022-03-06,"Izium raion, Kharkiv oblast",,488th Motor Rifle Regiment,"Z, ∆"
59,Tanks,T-72B,Destroyed,Russia,2022-03-01,"Kalynivka, Bucha raion","50.41638,29.76411",,"Turretless, V, Mine plow/roller"
61,Tanks,T-72B,Destroyed,Russia,2022-03-05,"Bobrovytsia, Nizhyn raion","50.76968,31.37761",6th Tank Regiment,Turretless
63,Tanks,T-72B,Destroyed,Russia,2022-03-17,"Nizhyn raion, Chernihiv oblast",,,Turretless
65,Tanks,T-72B,Destroyed,Russia,2022-03-19,"Buzova, Bucha raion","50.430394,30.028353",5th Separate Tank Brigade,"Turretless, Mine plow/roller"
66,Tanks,T-72B,Destroyed,Russia,2022-03-19,"Buzova, Bucha raion","50.430553,30.028709",,"Z, V"
67,Tanks,T-72B,Destroyed,Russia,2022-03-19,"Koriukivka raion, Chernihiv oblast",,,"Turretless, Shattered"
69,Tanks,T-72B,Destroyed,Russia,2022-03-19,"Bilashi, Kharkiv raion","50.15634,36.16709",237th Tank Regiment,"Turretless, Mine plow/roller"
70,Tanks,T-72B,Destroyed,Russia,2022-03-20,"Brovary raion, Kyiv oblast",,,O
72,Tanks,T-72B,Destroyed,Russia,2022-03-25,Chernihiv oblast,,,"Turretless, Shattered"
73,Tanks,T-72B,Destroyed,Russia,2022-03-21,"Mykolaivka, Bucha raion","50.464760,30.051926",,V
75,Tanks,T-72B,Destroyed,Russia,2022-03-20,"Stepne (Vuhledar hromada), Volnovakha raion","47.786621,37.556695",,Z
76,Tanks,T-72B,Destroyed,Russia,2022-03-23,"Stepne (Vuhledar hromada), Volnovakha raion","47.787468,37.555949",,"Z, Mine plow/roller"
77,Tanks,T-72B,Destroyed,Russia,2022-03-31,"Mriia, Bucha raion","50.442492,30.146467",5th Separate Tank Brigade,
78,Tanks,T-72B,Destroyed,Russia,2022-03-28,"Mala Rohan, Kharkiv raion","49.934676,36.482790",59th Tank Regiment,Turretless
80,Tanks,T-72B,Destroyed,Russia,2022-03-21,"Berezivka, Bucha raion","50.42793,30.01949",5th Separate Tank Brigade,V
81,Tanks,T-72B,Destroyed,Russia,2022-03-31,"Bervytsia, Brovary raion","50.64333,31.14972",239th Tank Regiment,Turretless
82,Tanks,T-72B,Destroyed,Russia,2022-03-31,"Buzova, Bucha raion","50.42774,30.01967",5th Separate Tank Brigade,Turretless
83,Tanks,T-72B,Destroyed,Russia,2022-03-31,"Nova Basan, Nizhyn raion","50.5697515,31.5146126",,"Turretless, O"
85,Tanks,T-72B,Destroyed,Russia,2022-04-02,"Velyka Dymerka, Brovary raion","50.598173,30.932105",,Turretless
86,Tanks,T-72B,Destroyed,Russia,2022-03-31,"Sukha Kamianka, Izium raion","49.088358,37.318721",,Turretless
90,Tanks,T-72B,Destroyed,Russia,2022-03-31,"Dmytrivka (Dmytrivka hromada), Bucha raion","50.46439,30.18241",,
91,Tanks,T-72B,Destroyed,Russia,2022-03-31,"Dmytrivka (Dmytrivka hromada), Bucha raion","50.45417819703755,30.176280123300913",,"Turretless, V"
92,Tanks,T-72B,Destroyed,Russia,2022-03-19,"Husarivka (Balakliia hromada), Izium raion","49.34952,36.80974",752nd Motor Rifle Regiment,"Turretless, Z, Mine plow/roller"
93,Tanks,T-72B,Destroyed,Russia,2022-04-05,"Zalissia, Brovary raion","50.63617,30.87805",,Turretless
94,Tanks,T-72B,Destroyed,Russia,2022-04-03,"Zalissia, Brovary raion","50.63949,30.87995",,"Turretless, Shattered, O"
95,Tanks,T-72B,Destroyed,Russia,2022-04-06,"Izium raion, Kharkiv oblast",,752nd Motor Rifle Regiment,"Z, ☐"
96,Tanks,T-72B,Destroyed,Russia,2022-04-06,"Izium raion, Kharkiv oblast",,752nd Motor Rifle Regiment,"Turretless, Z"
97,Tanks,T-72B,Destroyed,Russia,2022-04-08,"Burivka, Chernihiv raion","51.77531,31.37004",80th Tank Regiment,"Turretless, Z, O, ⧸"
98,Tanks,T-72B,Destroyed,Russia,2022-04-01,"Nova Basan, Nizhyn raion","50.56337,31.49213",,Turretless
99,Tanks,T-72B,Destroyed,Russia,2022-04-02,"Pisky (Bobrovytsia hromada), Nizhyn raion","50.62712,31.3694",,
104,Tanks,T-72B,Destroyed,Russia,2022-03-22,"Borivske, Sievierodonetsk raion","48.868031,38.604066",,Turretless
105,Tanks,T-72B,Destroyed,Russia,2022-04-11,"Borivske, Sievierodonetsk raion","48.867874,38.598015",,Turretless
106,Tanks,T-72B,Destroyed,Russia,2022-04-11,"Borivske, Sievierodonetsk raion","48.87276,38.60261",,"Turretless, Mine plow/roller"
109,Tanks,T-64BV,Destroyed,Russia,2022-04-11,Luhansk oblast,,,Z
111,Tanks,T-72B,Destroyed,Russia,2022-04-16,"Popasna, Sievierodonetsk raion","48.640779,38.420182",,
112,Tanks,T-72B,Destroyed,Russia,2022-04-16,"Popasna, Sievierodonetsk raion","48.635093,38.409566",,Turretless
113,Tanks,T-72B,Destroyed,Russia,2022-04-19,"Mariupol, Mariupol raion","47.087637138624615,37.54177346693104",,Z
115,Tanks,T-72B,Destroyed,Russia,2022-05-06,"Oleksandropil (Ocheretyne hromada), Pokrovsk raion","48.266044,37.784365",,"Turretless, Z"
116,Tanks,T-72B,Destroyed,Russia,2022-05-06,"Oleksandropil (Ocheretyne hromada), Pokrovsk raion","48.265961,37.783886",,
117,Tanks,T-72B,Destroyed,Russia,2022-03-15,"Zolote, Sievierodonetsk raion","48.688713664259154,38.57787679031139",,
118,Tanks,T-72B,Destroyed,Russia,2022-03-15,"Zolote, Sievierodonetsk raion","48.688743765458035,38.5780028541326",,Turretless
119,Tanks,T-72B,Destroyed,Russia,2022-03-15,"Zolote, Sievierodonetsk raion","48.68862336055457,38.57800553634156",,Turretless
120,Tanks,T-72B,Destroyed,Russia,2022-05-08,"Cherkaska Lozova, Kharkiv raion","50.140442,36.194939",237th Tank Regiment,Turretless
121,Tanks,T-72B,Destroyed,Russia,2022-05-11,"Bilohorivka, Sievierodonetsk raion","48.95105,38.22686",,"Turretless, O, V"
122,Tanks,T-72B,Destroyed,Russia,2022-05-10,Mykolaiv oblast,,,Z
123,Tanks,T-72B,Destroyed,Russia,2022-05-18,Donetsk oblast,,,
124,Tanks,T-72B,Destroyed,Russia,2022-05-08,"Niu-York, Bakhmut raion","48.324348,37.894821",,
125,Tanks,T-64BV,Destroyed,Russia,2022-05-08,"Niu-York, Bakhmut raion","48.324240,37.895255",,"Turretless, Shattered"
126,Tanks,T-72B,Destroyed,Russia,2022-05-17,"Solodke, Volnovakha raion","47.77463,37.43709",,
127,Tanks,T-72B,Destroyed,Russia,2022-05-13,"Bilohorivka, Sievierodonetsk raion","48.95032,38.22664",,"O, Underwater"
128,Tanks,T-72B,Destroyed,Russia,2022-05-13,"Bilohorivka, Sievierodonetsk raion","48.95057,38.22659",,Underwater
129,Tanks,T-72B,Destroyed,Russia,2022-05-15,"Bilohorivka, Sievierodonetsk raion","48.95145,38.2269",6th Tank Regiment,Underwater
130,Tanks,T-72B,Destroyed,Russia,2022-05-26,Donetsk oblast,,,"Z, O"
131,Tanks,T-72B,Destroyed,Russia,2022-05-26,"Mykolaivka (Chkalovske hromada), Chuhuiv raion","49.758108,36.944677",,
133,Tanks,T-72B,Destroyed,Russia,2022-05-23,"Kruta Balka, Donetsk raion","48.16021,37.81727",,
135,Tanks,T-72B,Destroyed,Russia,2022-03-27,"Hutnytske, Sumy raion","50.81413035948529,34.381165775238145",15th Motor Rifle Regiment,"Turretless, Shattered"
137,Tanks,T-72B,Damaged,Russia,2022-04-11,"Mariupol, Mariupol raion","47.09217,37.54339",,Z
138,Infantry fighting vehicles,BMP-2(K),Damaged,Russia,2022-04-11,"Mariupol, Mariupol raion","47.09276,37.54362",,Z
143,Tanks,T-72B,Destroyed,Russia,2022-04-05,Chernihiv oblast,,239th Tank Regiment,
145,Tanks,T-72B,Destroyed,Russia,2023-06-26,"Dovhenke, Izium raion","49.032611,37.316417",,"Z, Mine plow/roller"
147,Tanks,T-72B,Captured,Russia,2022-03-11,"Malyi Vystorop, Sumy raion","50.6277,34.81712",15th Motor Rifle Regiment,Damaged
148,Tanks,T-72B,Captured,Russia,2022-03-11,"Malyi Vystorop, Sumy raion","50.62774,34.81708",15th Motor Rifle Regiment,Damaged
150,Tanks,T-72B,Captured,Russia,2022-04-10,"Sukha Kamianka, Izium raion","49.09003,37.32001",,Z
153,Tanks,T-72B,Captured,Russia,2022-03-02,Zaporizhzhia oblast,,,"Z, Cope cage"
154,Tanks,T-72B,Captured,Russia,2022-03-03,"Prokhory, Nizhyn raion",,239th Tank Regiment,O
155,Tanks,T-72B,Captured,Russia,2022-03-03,"Chernihiv raion, Chernihiv oblast",,90th Tank Division,
157,Tanks,T-72B,Captured,Russia,2022-03-05,Chernihiv oblast,,239th Tank Regiment,
158,Tanks,T-72B,Captured,Russia,2022-03-06,"Prokhory, Nizhyn raion",,239th Tank Regiment,O
159,Tanks,T-72B,Captured,Russia,2022-03-02,"Krasnopillia, Sumy raion","50.787611,35.221806",15th Motor Rifle Regiment,
160,Tanks,T-72A,Captured,Russia,2022-03-02,"Khvylivka, Nizhyn raion","50.97544,31.8818",6th Tank Regiment,"O, Mine plow/roller"
161,Tanks,T-72B,Captured,Russia,2022-03-10,"Zavorychi, Brovary raion","50.70176,31.15445",6th Tank Regiment,Cope cage
162,Tanks,T-72B,Captured,Russia,2022-03-10,"Zavorychi, Brovary raion","50.70261,31.15465",6th Tank Regiment,
164,Tanks,T-72B,Captured,Russia,2022-03-10,"Zavorychi, Brovary raion","50.70192,31.1546",90th Tank Division,
165,Tanks,T-72B,Captured,Russia,2022-03-10,"Zavorychi, Brovary raion","50.70294,31.15504",6th Tank Regiment,"O, Mine plow/roller"
166,Tanks,T-72B,Captured,Russia,2022-03-10,"Zavorychi, Brovary raion","50.70126,31.15385",6th Tank Regiment,
167,Tanks,T-72B,Destroyed,Russia,2022-03-10,"Mokrets, Brovary raion","50.68363,31.1583",6th Tank Regiment,Turretless
169,Tanks,T-72B,Captured,Russia,2022-03-19,"Bilashi, Kharkiv raion","50.15631,36.16674",237th Tank Regiment,"Z, Damaged"
170,Tanks,T-72B,Captured,Russia,2022-05-13,"Bilashi, Kharkiv raion","50.156756,36.167702",237th Tank Regiment,"Z, Damaged"
172,Tanks,T-72B,Captured,Russia,2022-03-27,"Husarivka (Balakliia hromada), Izium raion",,3rd Motor Rifle Division,"Z, ☐"
173,Tanks,T-72B,Captured,Russia,2022-03-27,"Voznesensk, Voznesensk raion",,,Z
174,Tanks,T-72B,Captured,Russia,2022-04-01,"Mala Rohan, Kharkiv raion",,59th Tank Regiment,"Z, Mine plow/roller"
175,Tanks,T-72B,Captured,Russia,2022-04-01,"Velyka Doroha, Nizhyn raion","50.87703,32.00834",239th Tank Regiment,
176,Tanks,T-72B,Captured,Russia,2022-03-31,"Bobryk, Brovary raion","50.64307,31.14858",239th Tank Regiment,O
178,Tanks,T-72B,Captured,Russia,2022-04-01,"Velyka Doroha, Nizhyn raion","50.87621,32.00766",,O
179,Tanks,T-72B,Captured,Russia,2022-04-03,Chernihiv oblast,,239th Tank Regiment,
180,Tanks,T-72B,Captured,Russia,2022-04-05,"Burivka, Chernihiv raion","51.77218,31.29201",80th Tank Regiment,"O, Mine plow/roller, ⧸, Flipped"
181,Tanks,T-72B,Captured,Russia,2022-04-02,"Horodnia, Chernihiv raion","51.88026,31.59131",90th Tank Division,"O, Mine plow/roller"
182,Tanks,T-72B,Captured,Russia,2022-04-02,"Andriivka, Bucha raion","50.55537,29.836",,"V, Damaged"
184,Tanks,T-72B,Captured,Russia,2022-04-07,Donetsk oblast,,114th Separate Motor Rifle Brigade (DNR),Z
186,Tanks,T-72B,Captured,Russia,2022-04-19,,,,Z
190,Tanks,T-72B,Captured,Russia,2022-03-04,"Nizhyn raion, Chernihiv oblast",,,"Mine plow/roller, Cope cage"
194,Tanks,T-72B Obr. 1989,Destroyed,Russia,2022-02-26,"Chernihiv, Chernihiv raion","51.52994715495494,31.317462261268542",35th Separate Motor Rifle Brigade,"Turretless, O, Cope cage"
196,Tanks,T-72B Obr. 1989,Destroyed,Russia,2022-03-17,"Kolychivka, Chernihiv raion","51.419489,31.307375",,Turretless
197,Tanks,T-72B Obr. 1989,Destroyed,Russia,2022-03-19,"Buzova, Bucha raion","50.43003,30.02272",5th Separate Tank Brigade,V
199,Tanks,T-72B Obr. 1989,Destroyed,Russia,2022-03-08,"Kopani (Orikhiv hromada), Polohy raion","47.473111,35.722992",,Z
200,Tanks,T-72B Obr. 1989,Destroyed,Russia,2022-03-28,"Ploske, Brovary raion","50.544694278558445,31.092217560419666",,Turretless
201,Tanks,T-72B Obr. 1989,Destroyed,Russia,2022-03-28,"Ploske, Brovary raion","50.54470876663385,31.092045899047267",,Turretless
