,id,tag0
0,2,Turretless
1,3,Shattered
2,5,Turretless
3,6,Z
4,8,Z
5,10,Turretless
6,13,Mine plow/roller
7,15,Turretless
8,17,Turretless
9,19,Z
10,26,Turretless
11,27,Turretless
12,29,Mine plow/roller
13,30,Turretless
14,32,Turretless
15,35,Mine plow/roller
16,36,O
17,39,Mine plow/roller
18,44,Turretless
19,52,Mine plow/roller
20,53,O
21,54,Z
22,57,Turretless
23,59,Turretless
24,61,Turretless
25,65,Turretless
26,66,Z
27,69,Turretless
28,73,V
29,75,Z
30,76,Z
31,78,Turretless
32,80,V
33,81,Turretless
34,82,Turretless
35,83,Turretless
36,85,Turretless
37,86,Turretless
38,91,Turretless
39,92,Turretless
40,93,Turretless
41,94,Turretless
42,97,Turretless
43,98,Turretless
44,104,Turretless
45,105,Turretless
46,106,Turretless
47,112,Turretless
48,113,Z
49,115,Turretless
50,118,Turretless
51,119,Turretless
52,120,Turretless
53,121,Turretless
54,125,Turretless
55,127,O
56,128,Underwater
57,129,Underwater
58,135,Turretless
59,137,Z
60,138,Z
61,145,Z
62,147,Damaged
63,148,Damaged
64,150,Z
65,160,O
66,161,Cope cage
67,165,O
68,167,Turretless
69,169,Z
70,170,Z
71,176,O
72,178,O
73,180,O
74,181,O
75,182,V
76,194,Turretless
77,196,Turretless
78,197,V
79,199,Z
80,200,Turretless
81,201,Turretless
82,203,O
83,204,V
84,205,Turretless
85,206,Turretless
86,207,Turretless
87,208,Turretless
88,215,Z
89,217,Turretless
90,220,Turretless
91,221,Turretless
92,222,Turretless
93,224,Z
94,230,O
95,233,O
96,236,Z
97,240,V
98,242,O
99,248,O
100,255,Turretless
101,257,Turretless
102,260,Turretless
103,261,Turretless
104,262,V
105,264,Turretless
106,265,Turretless
107,267,Turretless
108,270,Turretless
109,271,Turretless
110,272,Turretless
111,273,O
112,274,Z
113,276,Turretless
114,278,Turretless
115,279,O
116,280,Turretless
117,281,Turretless
118,282,O
119,283,Z
120,284,Turretless
121,286,Turretless
122,288,V
123,290,Turretless
124,294,Turretless
125,296,Turretless
126,297,Turretless
127,298,Turretless
128,300,Turretless
129,302,Turretless
130,304,Turretless
131,307,Underwater
132,308,O
133,309,Turretless
134,311,Turretless
135,312,Cope cage
136,315,Z
137,318,Turretless
138,319,Turretless
139,320,Z
140,322,Z
141,330,V
142,342,O
143,349,O
144,352,Z
145,353,Z
146,354,Z
147,355,Turretless
148,357,Z
149,362,Z
150,365,O
151,371,Z
152,372,Z
153,375,Turretless
154,376,Mine plow/roller
155,377,Turretless
156,379,Turretless
157,385,Turretless
158,386,Turretless
159,390,Z
160,393,Turretless
161,397,Turretless
162,398,Turretless
163,399,Z
164,400,Z
165,404,Turretless
166,405,Z
167,406,Turretless
168,407,Mine plow/roller
169,408,Turretless
170,409,Turretless
171,410,Turretless
172,411,Turretless
173,413,Z
174,415,Turretless
175,418,Turretless
176,420,Turretless
177,423,Z
178,429,Turretless
179,431,Z
180,435,Damaged
181,438,O
182,446,Cope cage
183,454,Z
184,473,Z
185,484,Turretless
186,486,Turretless
187,487,Turretless
188,488,Turretless
189,489,V
190,490,Mine plow/roller
191,492,Z
192,496,Turretless
193,497,Z
194,498,Turretless
195,499,Turretless
196,501,Turretless
197,502,Turretless
198,505,Damaged
199,513,V
200,514,V
201,516,Z
202,521,O
203,522,Z
204,526,Turretless
205,527,Turretless
206,530,Turretless
207,531,Turretless
208,533,Turretless
209,538,Turretless
210,539,Turretless
211,540,PL-1
212,542,Turretless
213,545,PL-1
214,549,Turretless
215,552,Turretless
216,553,Z
217,555,Turretless
218,556,Mine plow/roller
219,557,Turretless
220,560,Damaged
221,561,Turretless
222,569,Mine plow/roller
223,570,Mine plow/roller
224,580,Z
225,587,PL-1
226,594,Turretless
227,596,O
228,599,Mine plow/roller
229,601,Turretless
230,602,Turretless
231,603,V
232,605,Z
233,606,Turretless
234,608,Turretless
235,609,Turretless
236,610,V
237,611,Turretless
238,612,Turretless
239,613,Turretless
240,618,V
241,625,V
242,633,Turretless
243,634,Turretless
244,635,Z
245,638,Turretless
246,639,Damaged
247,645,Cope cage
248,646,Mine plow/roller
249,651,Z
250,653,Turretless
251,659,Mine plow/roller
252,660,Turretless
253,664,Turretless
254,671,Turretless
255,683,Turretless
256,690,Turretless
257,702,Turretless
258,703,Turretless
259,705,Z
260,724,Turretless
261,726,Turretless
262,727,Turretless
263,740,Turretless
264,753,Turretless
265,759,Turretless
266,762,Underwater
267,763,Underwater
268,764,Underwater
269,765,Turretless
270,770,Turretless
271,771,Turretless
272,773,Turretless
273,776,Turretless
274,783,Turretless
275,784,Turretless
276,815,Turretless
277,817,Turretless
278,833,Z
279,834,Turretless
280,836,Turretless
281,843,V
282,846,Turretless
283,848,V
284,849,O
285,857,O
286,859,V
287,860,Z
288,864,O
289,877,O
290,878,Turretless
291,885,Z
292,901,V
293,904,V
294,909,V
295,919,O
296,922,O
297,927,V
298,929,O
299,930,V
300,933,Z
301,935,Z
302,938,O
303,941,O
304,947,V
305,957,Z
306,965,Z
307,969,Z
308,979,Z
309,984,Z
310,987,Z
311,991,Z
312,994,Z
313,995,Z
314,996,Z
315,997,Z
316,1011,Z
317,1014,Z
318,1019,Z
319,1020,Z
320,1022,Z
321,1025,Z
322,1026,Z
323,1027,Z
324,1030,Z
325,1034,Z
326,1037,Z
327,1039,Z
328,1044,Z
329,1050,Jammer
330,1054,O
331,1067,O
332,1072,O
333,1073,O
334,1075,V
335,1076,V
336,1081,Z
337,1083,Z
338,1085,V
339,1092,Z
340,1095,O
341,1114,Turretless
342,1119,V
343,1132,O
344,1139,Z
345,1177,Turretless
346,1200,Turretless
347,1201,Turretless
348,1202,Turretless
349,1204,Turretless
350,1205,Turretless
351,1206,Turretless
352,1207,Turretless
353,1208,PL-1
354,1237,Turretless
355,1242,Turretless
356,1267,Turretless
357,1268,Turretless
358,1269,Turretless
359,1271,Turretless
360,1276,V
361,1277,Z
362,1284,Z
363,1289,Turretless
364,1290,Turretless
