id,tag1
2, Z
5, Z
8, Mine plow/roller
10, Shattered
15, Shattered
17, Shattered
26, O
27, O
30, Mine plow/roller
32, Shattered
57, V
59, V
65, Mine plow/roller
66, V
69, Mine plow/roller
76, Mine plow/roller
83, O
91, V
92, Z
94, Shattered
97, Z
106, Mine plow/roller
115, Z
121, O
125, Shattered
127, Underwater
135, Shattered
145, Mine plow/roller
160, Mine plow/roller
165, Mine plow/roller
169, Damaged
170, Damaged
180, Mine plow/roller
181, Mine plow/roller
182, Damaged
194, O
205, V
206, V
207, V
220, Shattered
222, Mine plow/roller
224, ☐
230, Mine plow/roller
236, ☐
240, Damaged
242, Mine plow/roller
248, Mine plow/roller
260, Z
261, V
264, V
265, O
270, Cope cage
272, Z
276, O
279, Damaged
281, Z
284, Mine plow/roller
286, Z
290, Shattered
294, O
308, ⧸
311, Cope cage
315, Cope cage
318, Z
319, Z
320, Cope cage
322, Cope cage
330, Mine plow/roller
349, Damaged
352, O
353, Mine plow/roller
354, Mine plow/roller
355, Z
362, ☐
365, Damaged
372, Damaged
377, Mine plow/roller
379, Shattered
385, Z
390, Cope cage
393, Mine plow/roller
398, Mine plow/roller
399, ⧸
400, ⧸
404, Z
405, Mine plow/roller
406, V
407, Damaged
408, Shattered
413, ⧸
420, Z
423, V
429, Mine plow/roller
431, Damaged
438, Mine plow/roller
454, Cope cage
487, Shattered
488, Shattered
496, Z
498, O
499, Z
501, Mine plow/roller
513, Damaged
514, Damaged
516, V
526, Mine plow/roller
531, Mine plow/roller
552, Underwater
555, Mine plow/roller
561, Shattered
594, Mine plow/roller
596, Damaged
613, Z
638, Z
645, ⧸
646, Cope cage
702, Z
703, Z
705, Mine plow/roller
724, O
726, Z
727, Z
753, Shattered
765, Shattered
770, O
773, Mine plow/roller
834, Z
836, V
849, Flipped
885, ☐
938, Damaged
957, ☐
965, ☐
979, ☐
984, ☐
987, ☐
991, ☐
994, ☐
997, ☐
1019, ☐
1020, ☐
1025, ☐
1027, ☐
1030, ☐
1034, ⧸
1039, ⧸
1081, ☐
1083, Damaged
1095, Damaged
1114, Shattered
1132, ⧸
1139, ☐
1177, Shattered
1201, Shattered
1202, V
1205, Z
1206, Z
1267, Z
1268, Shattered
1297, Shattered
1302, O
1307, O
1313, Shattered
1315, Shattered
1332, O
1352, O
1363, Underwater
1367, O
1368, Shattered
1374, V
1384, Z
1385, Z
1389, Shattered
1391, O
1392, Shattered
1393, Shattered
1396, O
1409, O
1412, Shattered
1418, Additional armour
1428, V
1433, V
1434, V
1435, Shattered
1438, Shattered
1443, Armour kit missing
1445, O
1456, Shattered
1457, V
1464, Z
1483, Z
1494, Z
1501, Shattered
1505, Armour kit missing
1506, O
1522, Z
1528, Armour kit missing
1531, Shattered
1532, Z
1538, Z
1539, V
1544, PL-1
1549, Shattered
1564, ⧸
1570, Armour kit missing
1583, PL-1
1587, Damaged
1594, PL-1
1595, PL-1
1596, PL-1
1602, ☐
1621, Armour kit missing
1623, Damaged
1633, O
1636, PL-1
1661, Z
1662, Underwater
1684, Shattered
1695, Shattered
1698, Z
1699, Shattered
1700, Z
1701, Z
1702, Shattered
1705, ⧸
1707, Z
1708, Z
1710, Shattered
1712, Shattered
1716, Shattered
1718, Shattered
1719, Shattered
1720, V
1725, Shattered
1726, Shattered
1728, Z
1729, Underwater
1730, Z
1733, Shattered
1736, Z
1737, Z
1739, Shattered
1744, Shattered
1745, Shattered
1746, Shattered
1751, Z
1753, Shattered
1756, Z
1763, Damaged
1765, ⧸
1775, PL-1
1782, PL-1
1797, PL-1
1798, PL-1
1801, Shattered
1805, V
1809, V
1811, Z
1812, PL-1
1816, Z
1819, Shattered
1820, V
1833, V
1834, Shattered
1835, V
1840, Flipped
1843, Shattered
1844, Shattered
1845, Shattered
1848, V
1866, PL-1
1871, Damaged
1885, Jammer
1886, Z
1895, PL-1
1899, Damaged
1900, PL-1
1917, Shattered
1918, Shattered
1919, Shattered
1920, Shattered
1923, Shattered
1924, Shattered
1925, Shattered
1928, Shattered
1929, Shattered
1930, V
1931, Shattered
