Category,Equipment
Airplanes,Su-27P
Airplanes,Su-24M
Airplanes,Su-24MR
Airplanes,Su-24M/MR
Airplanes,Su-27
Airplanes,Su-30SM
Airplanes,Su-34
Airplanes,Su-34M
Airplanes,Su-35S
Airplanes,MiG-31BM
Airplanes,Su-57
Airplanes,Tu-95MS
Airplanes,airborne
Airplanes,A-50
Airplanes,Be-200
Airplanes,An-26
Airplanes,Il-76
Airplanes,Su-25SM
Airplanes,Su-25SM3
Airplanes,Tu-22M3
Airplanes,Il-22
Airplanes,Su-25
Airplanes,A-50U
"Ambulances, medical vehicles",ZSA-Т
"Ambulances, medical vehicles",AS-4350.1
Anti-aircraft systems,5P85SD
Anti-aircraft systems,23mm
Anti-aircraft systems,Launcher
Anti-aircraft systems,BTR-ZD
Anti-aircraft systems,9K331MDT
Anti-aircraft systems,2A6
Anti-aircraft systems,2S6M
Anti-aircraft systems,9A331MU
Anti-aircraft systems,9A332
Anti-aircraft systems,50P6E
Anti-aircraft systems,9A331
Anti-aircraft systems,9A331M
Anti-aircraft systems,5P85SM2-01
Anti-aircraft systems,9A34M/35M
Anti-aircraft systems,9A310M1-2
Anti-aircraft systems,9A39M1-2
Anti-aircraft systems,57mm
Anti-aircraft systems,5P85TM/T2
Anti-aircraft systems,9A317M
Anti-aircraft systems,9A316
Anti-aircraft systems,9A84-2
Anti-aircraft systems,9A83M2
Anti-aircraft systems,9A317
Anti-aircraft systems,72V6
Anti-aircraft systems,9A330
Anti-aircraft systems,9A33BM
Anti-aircraft systems,Kamaz
Anti-tank systems,9P162
Armoured Fighting Vehicles,BMM-80
Armoured Fighting Vehicles,2S1
Armoured Fighting Vehicles,Terminator
Armoured Fighting Vehicles,BRM-1(K)
Armoured Fighting Vehicles,BRM-1K
Armoured Fighting Vehicles,BRM-1
Armoured Fighting Vehicles,BRDM-2
Armoured Fighting Vehicles,BRDM-2M/A
Armoured Fighting Vehicles,BRDM-2MS
Armoured Fighting Vehicles,chemical
Armoured Fighting Vehicles,BRDM-2-based
Armoured Fighting Vehicles,BTR-80-based
Armoured Fighting Vehicles,with
Armoured Fighting Vehicles,MT-LB
Armoured Fighting Vehicles,AZP
Armoured Fighting Vehicles,MT-LBVM
Armoured Fighting Vehicles,MT-LBVM(K)
Armoured Fighting Vehicles,GAZ-3344-20
Armoured Fighting Vehicles,Vityaz
Armoured Fighting Vehicles,BMP-1
Armoured Fighting Vehicles,MT-LBu
Armoured Fighting Vehicles,MT-LBVMK
Armoured Personnel Carriers,BTR-MDM
Armoured Personnel Carriers,BTR-50
Armoured Personnel Carriers,BTR-60PB
Armoured Personnel Carriers,Plastun-SN
Armoured Personnel Carriers,BTR-70M
Armoured Personnel Carriers,BTR-80
Armoured Personnel Carriers,Remdiesel
Armoured Personnel Carriers,BTR-D
Armoured Personnel Carriers,VTS
Armoured Personnel Carriers,BMO-T
Armoured Personnel Carriers,BTR-70
Artillery Support Vehicles And Equipment,Klyon-1
Artillery Support Vehicles And Equipment,artillery
Artillery Support Vehicles And Equipment,TZM-T
Artillery Support Vehicles And Equipment,9T234-2
Artillery Support Vehicles And Equipment,9T452
Artillery Support Vehicles And Equipment,command
Artillery Support Vehicles And Equipment,1V119
Artillery Support Vehicles And Equipment,fire
Artillery Support Vehicles And Equipment,Argus
Artillery Support Vehicles And Equipment,1V13(M)
Artillery Support Vehicles And Equipment,Mashina-S'/'Faltset
Artillery Support Vehicles And Equipment,BM-21
Artillery Support Vehicles And Equipment,1V14
"Command posts, communication",9S932-2
"Command posts, communication",R-149AKSh(-1)
"Command posts, communication",R-419L1
"Command posts, communication",P-260-U
"Command posts, communication",MPUS-K
"Command posts, communication",R-416GM
"Command posts, communication",9S932-1
"Command posts, communication",Lancet
"Command posts, communication",R-161
