id,type,model,status,date,front,oblast,raion,town,lat,lon,tags
1,Tanks,T-64BV,Destroyed,2022-03-14,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Rubizhne,49.027241,38.343374,
2,Tanks,T-64BV,Destroyed,2022-03-16,East Ukraine,Donetsk oblast,Mariupol raion,Mariupol,47.099125851628806,37.52371337039075,"-941,-937,-948"
3,Tanks,T-64BV,Destroyed,2022-03-16,East Ukraine,Donetsk oblast,Mariupol raion,Mariupol,47.09869256359657,37.52353235165147,-944
5,Tanks,T-64BV,Destroyed,2022-03-17,East Ukraine,Donetsk oblast,Mariupol raion,Mariupol,47.098139835697424,37.640174323260645,"-941,-937"
6,Tanks,T-64BV,Destroyed,2022-03-31,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Rubizhne,49.01122,38.39844,-937
8,Tanks,T-64BV,Destroyed,2022-03-07,East Ukraine,Donetsk oblast,Mariupol raion,Mariupol,47.06449,37.47426,"-937,-948"
10,Tanks,T-64BV,Destroyed,2022-05-06,East Ukraine,Donetsk oblast,Mariupol raion,Mariupol,47.152873,37.632595,"-941,-944"
11,Tanks,T-64BV,Damaged,2022-05-20,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Rubizhne,49.03426,38.354,
13,Tanks,T-64A,Destroyed,2022-05-25,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Borivske,48.875283,38.600434,-948
15,Tanks,T-64BV,Destroyed,2022-05-29,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Rubizhne,48.98553,38.40138,"-941,-944"
17,Tanks,T-64BV,Destroyed,2022-05-11,East Ukraine,Donetsk oblast,Donetsk raion,Oleksandrivka,47.903917,37.535861,"-941,-944"
19,Tanks,T-64BV,Damaged,2022-04-17,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Rubizhne,49.011984,38.397356,-937
20,Tanks,T-64BV,Captured,2022-03-29,East Ukraine,Luhansk oblast,,,,,-956
26,Tanks,T-72A,Destroyed,2022-03-10,North Ukraine,Kyiv oblast,Brovary raion,Skybyn,50.586255,30.83903,"-941,-947"
27,Tanks,T-72A,Destroyed,2022-03-06,North Ukraine,Kyiv oblast,Brovary raion,Zavorychi,50.70268,31.1552,"-941,-947"
28,Tanks,T-72A,Destroyed,2022-03-27,East Ukraine,Donetsk oblast,Pokrovsk raion,Verkhnotoretske,,,-948
29,Tanks,T-72A,Destroyed,2022-04-09,North Ukraine,Chernihiv oblast,Pryluky raion,Pryputni,50.951716,32.220893,-948
30,Tanks,T-72A,Destroyed,2022-04-04,North Ukraine,Chernihiv oblast,Chernihiv raion,Politrudnia,51.83793,31.60029,"-941,-948"
31,Tanks,T-72A,Destroyed,2022-04-26,North Ukraine,Chernihiv oblast,,,,,-948
32,Tanks,T-72B,Destroyed,2022-06-01,East Ukraine,Donetsk oblast,Pokrovsk raion,Marinka,47.932043,37.523071,"-941,-944"
34,Tanks,T-72A,Captured,2022-03-10,North Ukraine,Chernihiv oblast,,,,,
35,Tanks,T-72A,Captured,2022-03-10,North Ukraine,Kyiv oblast,Brovary raion,Skybyn,50.583148,30.836393,-948
36,Tanks,T-72A,Captured,2022-03-10,North Ukraine,Chernihiv oblast,Chernihiv raion,Kolychivka,51.42088,31.30846,-947
39,Tanks,T-72A,Captured,2022-03-06,North Ukraine,Kyiv oblast,Brovary raion,Zavorychi,50.7017,31.1541,-948
42,Tanks,T-72A,Captured,2022-05-17,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Bilohorivka,,,-937
43,Tanks,T-72A,Captured,2022-05-25,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Bilohorivka,48.9511,38.22929,
44,Tanks,T-72A,Destroyed,2022-07-13,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Bilohorivka,48.9515,38.22714,-941
45,Tanks,T-72A,Captured,2022-05-28,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Bilohorivka,,,
49,Tanks,T-72AV,Destroyed,2022-04-11,North Ukraine,Chernihiv oblast,Nizhyn raion,Nova Basan,50.54869,31.50226,
50,Tanks,T-80BV,Destroyed,2022-04-25,North Ukraine,Kyiv oblast,,,,,"-941,-944"
51,Tanks,T-72AV,Captured,2022-03-10,North Ukraine,Kyiv oblast,Brovary raion,Skybyn,50.58057,30.83448,
52,Tanks,T-72AV,Captured,2022-03-11,North Ukraine,Sumy oblast,Sumy raion,Malyi Vystorop,50.62778,34.81719,-948
53,Tanks,T-72AV,Captured,2022-04-02,North Ukraine,Chernihiv oblast,Nizhyn raion,Nova Basan,50.57066,31.51588,-947
54,Tanks,T-72B,Destroyed,2022-02-26,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Metolkyne,48.936789,38.600982,-937
55,Tanks,T-72B,Destroyed,2022-03-02,North Ukraine,Chernihiv oblast,Koriukivka raion,Makoshyne,51.462111,32.297907,
56,Tanks,T-72B,Destroyed,2022-02-28,East Ukraine,Luhansk oblast,,,,,-937
57,Tanks,T-72B,Destroyed,2022-03-04,North Ukraine,Kyiv oblast,Bucha raion,Stoianka,50.446174,30.22076,"-941,-938"
58,Tanks,T-72BA,Destroyed,2022-03-06,East Ukraine,Kharkiv oblast,Izium raion,,,,"-937,-936"
59,Tanks,T-72B,Destroyed,2022-03-01,North Ukraine,Kyiv oblast,Bucha raion,Kalynivka,50.41638,29.76411,"-941,-938,-948"
61,Tanks,T-72B,Destroyed,2022-03-05,North Ukraine,Chernihiv oblast,Nizhyn raion,Bobrovytsia,50.76968,31.37761,-941
63,Tanks,T-72B,Destroyed,2022-03-17,North Ukraine,Chernihiv oblast,Nizhyn raion,,,,-941
65,Tanks,T-72B,Destroyed,2022-03-19,North Ukraine,Kyiv oblast,Bucha raion,Buzova,50.430394,30.028353,"-941,-948"
66,Tanks,T-72B,Destroyed,2022-03-19,North Ukraine,Kyiv oblast,Bucha raion,Buzova,50.430553,30.028709,"-937,-938"
67,Tanks,T-72B,Destroyed,2022-03-19,North Ukraine,Chernihiv oblast,Koriukivka raion,,,,"-941,-944"
69,Tanks,T-72B,Destroyed,2022-03-19,East Ukraine,Kharkiv oblast,Kharkiv raion,Bilashi,50.15634,36.16709,"-941,-948"
70,Tanks,T-72B,Destroyed,2022-03-20,North Ukraine,Kyiv oblast,Brovary raion,,,,-947
72,Tanks,T-72B,Destroyed,2022-03-25,North Ukraine,Chernihiv oblast,,,,,"-941,-944"
73,Tanks,T-72B,Destroyed,2022-03-21,North Ukraine,Kyiv oblast,Bucha raion,Mykolaivka,50.46476,30.051926,-938
75,Tanks,T-72B,Destroyed,2022-03-20,East Ukraine,Donetsk oblast,Volnovakha raion,Stepne ,47.786621,37.556695,-937
76,Tanks,T-72B,Destroyed,2022-03-23,East Ukraine,Donetsk oblast,Volnovakha raion,Stepne ,47.787468,37.555949,"-937,-948"
77,Tanks,T-72B,Destroyed,2022-03-31,North Ukraine,Kyiv oblast,Bucha raion,Mriia,50.442492,30.146467,
78,Tanks,T-72B,Destroyed,2022-03-28,East Ukraine,Kharkiv oblast,Kharkiv raion,Mala Rohan,49.934676,36.48279,-941
80,Tanks,T-72B,Destroyed,2022-03-21,North Ukraine,Kyiv oblast,Bucha raion,Berezivka,50.42793,30.01949,-938
81,Tanks,T-72B,Destroyed,2022-03-31,North Ukraine,Kyiv oblast,Brovary raion,Bervytsia,50.64333,31.14972,-941
82,Tanks,T-72B,Destroyed,2022-03-31,North Ukraine,Kyiv oblast,Bucha raion,Buzova,50.42774,30.01967,-941
83,Tanks,T-72B,Destroyed,2022-03-31,North Ukraine,Chernihiv oblast,Nizhyn raion,Nova Basan,50.5697515,31.5146126,"-941,-947"
85,Tanks,T-72B,Destroyed,2022-04-02,North Ukraine,Kyiv oblast,Brovary raion,Velyka Dymerka,50.598173,30.932105,-941
86,Tanks,T-72B,Destroyed,2022-03-31,East Ukraine,Kharkiv oblast,Izium raion,Sukha Kamianka,49.088358,37.318721,-941
90,Tanks,T-72B,Destroyed,2022-03-31,North Ukraine,Kyiv oblast,Bucha raion,Dmytrivka ,50.46439,30.18241,
91,Tanks,T-72B,Destroyed,2022-03-31,North Ukraine,Kyiv oblast,Bucha raion,Dmytrivka ,50.45417819703755,30.176280123300916,"-941,-938"
92,Tanks,T-72B,Destroyed,2022-03-19,East Ukraine,Kharkiv oblast,Izium raion,Husarivka ,49.34952,36.80974,"-941,-937,-948"
93,Tanks,T-72B,Destroyed,2022-04-05,North Ukraine,Kyiv oblast,Brovary raion,Zalissia,50.63617,30.87805,-941
94,Tanks,T-72B,Destroyed,2022-04-03,North Ukraine,Kyiv oblast,Brovary raion,Zalissia,50.63949,30.87995,"-941,-944,-947"
95,Tanks,T-72B,Destroyed,2022-04-06,East Ukraine,Kharkiv oblast,Izium raion,,,,"-937,-931"
96,Tanks,T-72B,Destroyed,2022-04-06,East Ukraine,Kharkiv oblast,Izium raion,,,,"-941,-937"
97,Tanks,T-72B,Destroyed,2022-04-08,North Ukraine,Chernihiv oblast,Chernihiv raion,Burivka,51.77531,31.37004,"-941,-937,-947,-929"
98,Tanks,T-72B,Destroyed,2022-04-01,North Ukraine,Chernihiv oblast,Nizhyn raion,Nova Basan,50.56337,31.49213,-941
99,Tanks,T-72B,Destroyed,2022-04-02,North Ukraine,Chernihiv oblast,Nizhyn raion,Pisky ,50.62712,31.3694,
104,Tanks,T-72B,Destroyed,2022-03-22,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Borivske,48.868031,38.604066,-941
105,Tanks,T-72B,Destroyed,2022-04-11,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Borivske,48.867874,38.598015,-941
106,Tanks,T-72B,Destroyed,2022-04-11,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Borivske,48.87276,38.60261,"-941,-948"
109,Tanks,T-64BV,Destroyed,2022-04-11,East Ukraine,Luhansk oblast,,,,,-937
111,Tanks,T-72B,Destroyed,2022-04-16,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Popasna,48.640779,38.420182,
112,Tanks,T-72B,Destroyed,2022-04-16,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Popasna,48.635093,38.409566,-941
113,Tanks,T-72B,Destroyed,2022-04-19,East Ukraine,Donetsk oblast,Mariupol raion,Mariupol,47.087637138624615,37.54177346693104,-937
115,Tanks,T-72B,Destroyed,2022-05-06,East Ukraine,Donetsk oblast,Pokrovsk raion,Oleksandropil ,48.266044,37.784365,"-941,-937"
116,Tanks,T-72B,Destroyed,2022-05-06,East Ukraine,Donetsk oblast,Pokrovsk raion,Oleksandropil ,48.265961,37.783886,
117,Tanks,T-72B,Destroyed,2022-03-15,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Zolote,48.688713664259154,38.57787679031139,
118,Tanks,T-72B,Destroyed,2022-03-15,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Zolote,48.68874376545804,38.5780028541326,-941
119,Tanks,T-72B,Destroyed,2022-03-15,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Zolote,48.68862336055457,38.57800553634156,-941
120,Tanks,T-72B,Destroyed,2022-05-08,East Ukraine,Kharkiv oblast,Kharkiv raion,Cherkaska Lozova,50.140442,36.194939,-941
121,Tanks,T-72B,Destroyed,2022-05-11,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Bilohorivka,48.95105,38.22686,"-941,-947,-938"
122,Tanks,T-72B,Destroyed,2022-05-10,South Ukraine,Mykolaiv oblast,,,,,-937
123,Tanks,T-72B,Destroyed,2022-05-18,East Ukraine,Donetsk oblast,,,,,
124,Tanks,T-72B,Destroyed,2022-05-08,East Ukraine,Donetsk oblast,Bakhmut raion,Niu-York,48.324348,37.894821,
125,Tanks,T-64BV,Destroyed,2022-05-08,East Ukraine,Donetsk oblast,Bakhmut raion,Niu-York,48.32424,37.895255,"-941,-944"
126,Tanks,T-72B,Destroyed,2022-05-17,East Ukraine,Donetsk oblast,Volnovakha raion,Solodke,47.77463,37.43709,
127,Tanks,T-72B,Destroyed,2022-05-13,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Bilohorivka,48.95032,38.22664,"-947,-939"
128,Tanks,T-72B,Destroyed,2022-05-13,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Bilohorivka,48.95057,38.22659,-939
129,Tanks,T-72B,Destroyed,2022-05-15,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Bilohorivka,48.95145,38.2269,-939
130,Tanks,T-72B,Destroyed,2022-05-26,East Ukraine,Donetsk oblast,,,,,"-937,-947"
131,Tanks,T-72B,Destroyed,2022-05-26,East Ukraine,Kharkiv oblast,Chuhuiv raion,Mykolaivka ,49.758108,36.944677,
133,Tanks,T-72B,Destroyed,2022-05-23,East Ukraine,Donetsk oblast,Donetsk raion,Kruta Balka,48.16021,37.81727,
135,Tanks,T-72B,Destroyed,2022-03-27,North Ukraine,Sumy oblast,Sumy raion,Hutnytske,50.81413035948529,34.381165775238145,"-941,-944"
137,Tanks,T-72B,Damaged,2022-04-11,East Ukraine,Donetsk oblast,Mariupol raion,Mariupol,47.09217,37.54339,-937
138,Infantry fighting vehicles,BMP-2(K),Damaged,2022-04-11,East Ukraine,Donetsk oblast,Mariupol raion,Mariupol,47.09276,37.54362,-937
143,Tanks,T-72B,Destroyed,2022-04-05,North Ukraine,Chernihiv oblast,,,,,
145,Tanks,T-72B,Destroyed,2023-06-26,East Ukraine,Kharkiv oblast,Izium raion,Dovhenke,49.032611,37.316417,"-937,-948"
147,Tanks,T-72B,Captured,2022-03-11,North Ukraine,Sumy oblast,Sumy raion,Malyi Vystorop,50.6277,34.81712,-956
148,Tanks,T-72B,Captured,2022-03-11,North Ukraine,Sumy oblast,Sumy raion,Malyi Vystorop,50.62774,34.81708,-956
150,Tanks,T-72B,Captured,2022-04-10,East Ukraine,Kharkiv oblast,Izium raion,Sukha Kamianka,49.09003,37.32001,-937
153,Tanks,T-72B,Captured,2022-03-02,East Ukraine,Zaporizhzhia oblast,,,,,"-937,-957"
154,Tanks,T-72B,Captured,2022-03-03,North Ukraine,Chernihiv oblast,Nizhyn raion,Prokhory,,,-947
155,Tanks,T-72B,Captured,2022-03-03,North Ukraine,Chernihiv oblast,Chernihiv raion,,,,
157,Tanks,T-72B,Captured,2022-03-05,North Ukraine,Chernihiv oblast,,,,,
158,Tanks,T-72B,Captured,2022-03-06,North Ukraine,Chernihiv oblast,Nizhyn raion,Prokhory,,,-947
159,Tanks,T-72B,Captured,2022-03-02,North Ukraine,Sumy oblast,Sumy raion,Krasnopillia,50.787611,35.221806,
160,Tanks,T-72A,Captured,2022-03-02,North Ukraine,Chernihiv oblast,Nizhyn raion,Khvylivka,50.97544,31.8818,"-947,-948"
161,Tanks,T-72B,Captured,2022-03-10,North Ukraine,Kyiv oblast,Brovary raion,Zavorychi,50.70176,31.15445,-957
162,Tanks,T-72B,Captured,2022-03-10,North Ukraine,Kyiv oblast,Brovary raion,Zavorychi,50.70261,31.15465,
164,Tanks,T-72B,Captured,2022-03-10,North Ukraine,Kyiv oblast,Brovary raion,Zavorychi,50.70192,31.1546,
165,Tanks,T-72B,Captured,2022-03-10,North Ukraine,Kyiv oblast,Brovary raion,Zavorychi,50.70294,31.15504,"-947,-948"
166,Tanks,T-72B,Captured,2022-03-10,North Ukraine,Kyiv oblast,Brovary raion,Zavorychi,50.70126,31.15385,
167,Tanks,T-72B,Destroyed,2022-03-10,North Ukraine,Kyiv oblast,Brovary raion,Mokrets,50.68363,31.1583,-941
169,Tanks,T-72B,Captured,2022-03-19,East Ukraine,Kharkiv oblast,Kharkiv raion,Bilashi,50.15631,36.16674,"-937,-956"
170,Tanks,T-72B,Captured,2022-05-13,East Ukraine,Kharkiv oblast,Kharkiv raion,Bilashi,50.156756,36.167702,"-937,-956"
172,Tanks,T-72B,Captured,2022-03-27,East Ukraine,Kharkiv oblast,Izium raion,Husarivka ,,,"-937,-931"
173,Tanks,T-72B,Captured,2022-03-27,South Ukraine,Mykolaiv oblast,Voznesensk raion,Voznesensk,,,-937
174,Tanks,T-72B,Captured,2022-04-01,East Ukraine,Kharkiv oblast,Kharkiv raion,Mala Rohan,,,"-937,-948"
175,Tanks,T-72B,Captured,2022-04-01,North Ukraine,Chernihiv oblast,Nizhyn raion,Velyka Doroha,50.87703,32.00834,
176,Tanks,T-72B,Captured,2022-03-31,North Ukraine,Kyiv oblast,Brovary raion,Bobryk,50.64307,31.14858,-947
178,Tanks,T-72B,Captured,2022-04-01,North Ukraine,Chernihiv oblast,Nizhyn raion,Velyka Doroha,50.87621,32.00766,-947
179,Tanks,T-72B,Captured,2022-04-03,North Ukraine,Chernihiv oblast,,,,,
180,Tanks,T-72B,Captured,2022-04-05,North Ukraine,Chernihiv oblast,Chernihiv raion,Burivka,51.77218,31.29201,"-947,-948,-929,-954"
181,Tanks,T-72B,Captured,2022-04-02,North Ukraine,Chernihiv oblast,Chernihiv raion,Horodnia,51.88026,31.59131,"-947,-948"
182,Tanks,T-72B,Captured,2022-04-02,North Ukraine,Kyiv oblast,Bucha raion,Andriivka,50.55537,29.836,"-938,-956"
