id,tag0
2,Turretless
3,Shattered
5,Turretless
6,Z
8,Z
10,Turretless
13,Mine plow/roller
15,Turretless
17,Turretless
19,Z
26,Turretless
27,Turretless
29,Mine plow/roller
30,Turretless
32,Turretless
35,Mine plow/roller
36,O
39,Mine plow/roller
44,Turretless
52,Mine plow/roller
53,O
54,Z
57,Turretless
59,Turretless
61,Turretless
65,Turretless
66,Z
69,Turretless
73,V
75,Z
76,Z
78,Turretless
80,V
81,Turretless
82,Turretless
83,Turretless
85,Turretless
86,Turretless
91,Turretless
92,Turretless
93,Turretless
94,Turretless
97,Turretless
98,Turretless
104,Turretless
105,Turretless
106,Turretless
112,Turretless
113,Z
115,Turretless
118,Turretless
119,Turretless
120,Turretless
121,Turretless
125,Turretless
127,O
128,Underwater
129,Underwater
135,Turretless
137,Z
138,Z
145,Z
147,Damaged
148,Damaged
150,Z
160,O
161,Cope cage
165,O
167,Turretless
169,Z
170,Z
176,O
178,O
180,O
181,O
182,V
194,Turretless
196,Turretless
197,V
199,Z
200,Turretless
201,Turretless
203,O
204,V
205,Turretless
206,Turretless
207,Turretless
208,Turretless
215,Z
217,Turretless
220,Turretless
221,Turretless
222,Turretless
224,Z
230,O
233,O
236,Z
240,V
242,O
248,O
255,Turretless
257,Turretless
260,Turretless
261,Turretless
262,V
264,Turretless
265,Turretless
267,Turretless
270,Turretless
271,Turretless
272,Turretless
273,O
274,Z
276,Turretless
278,Turretless
279,O
280,Turretless
281,Turretless
282,O
283,Z
284,Turretless
286,Turretless
288,V
290,Turretless
294,Turretless
296,Turretless
297,Turretless
298,Turretless
300,Turretless
302,Turretless
304,Turretless
307,Underwater
308,O
309,Turretless
311,Turretless
312,Cope cage
315,Z
318,Turretless
319,Turretless
320,Z
322,Z
330,V
342,O
349,O
352,Z
353,Z
354,Z
355,Turretless
357,Z
362,Z
365,O
371,Z
372,Z
375,Turretless
376,Mine plow/roller
377,Turretless
379,Turretless
385,Turretless
386,Turretless
390,Z
393,Turretless
397,Turretless
398,Turretless
399,Z
400,Z
404,Turretless
405,Z
406,Turretless
407,Mine plow/roller
408,Turretless
409,Turretless
410,Turretless
411,Turretless
413,Z
415,Turretless
418,Turretless
420,Turretless
423,Z
429,Turretless
431,Z
435,Damaged
438,O
446,Cope cage
454,Z
473,Z
484,Turretless
486,Turretless
487,Turretless
488,Turretless
489,V
490,Mine plow/roller
492,Z
496,Turretless
497,Z
498,Turretless
499,Turretless
501,Turretless
502,Turretless
505,Damaged
513,V
514,V
516,Z
521,O
522,Z
526,Turretless
527,Turretless
530,Turretless
531,Turretless
533,Turretless
538,Turretless
539,Turretless
540,PL-1
542,Turretless
545,PL-1
549,Turretless
552,Turretless
553,Z
555,Turretless
556,Mine plow/roller
557,Turretless
560,Damaged
561,Turretless
569,Mine plow/roller
570,Mine plow/roller
580,Z
587,PL-1
594,Turretless
596,O
599,Mine plow/roller
601,Turretless
602,Turretless
603,V
605,Z
606,Turretless
608,Turretless
609,Turretless
610,V
611,Turretless
612,Turretless
613,Turretless
618,V
625,V
633,Turretless
634,Turretless
635,Z
638,Turretless
639,Damaged
645,Cope cage
646,Mine plow/roller
651,Z
653,Turretless
659,Mine plow/roller
660,Turretless
664,Turretless
671,Turretless
683,Turretless
690,Turretless
702,Turretless
703,Turretless
705,Z
724,Turretless
726,Turretless
727,Turretless
740,Turretless
753,Turretless
759,Turretless
762,Underwater
763,Underwater
764,Underwater
765,Turretless
770,Turretless
771,Turretless
773,Turretless
776,Turretless
783,Turretless
784,Turretless
815,Turretless
817,Turretless
833,Z
834,Turretless
836,Turretless
843,V
846,Turretless
848,V
849,O
857,O
859,V
860,Z
864,O
877,O
878,Turretless
885,Z
901,V
904,V
909,V
919,O
922,O
927,V
929,O
930,V
933,Z
935,Z
938,O
941,O
947,V
957,Z
